,HDFCBANK,ICICIBANK,SBIN,AXISBANK,KOTAKBANK,INDUSINDBANK,AUBANK,FEDERALBNK,IDFCFIRSTB,BANKBARODA,PNB,CANBK,UNIONBANK,YESBANK
05-Apr-20,-0.025200843,-0.051839537,-0.045126266,-0.065089537,-0.045617701,-0.098909118,-0.008073071,-0.052866666,-0.037088765,-0.016320102,-0.002952596,-0.014085118,-0.017750909,-0.003022275
12-Apr-20,-0.064778291,-0.109907626,-0.089046082,-0.093370679,-0.066860874,-0.083283162,-0.037470461,-0.081145516,-0.068701721,-0.066485777,-0.023065969,-0.023576238,-0.033926072,-0.029912489
19-Apr-20,-0.040154962,-0.079494717,-0.070769091,-0.091850143,-0.037084846,-0.082999176,-0.037545521,-0.063064884,-0.039578418,-0.046057769,-0.025330191,-0.033783671,-0.033788466,-0.014011933
26-Apr-20,-0.032427614,-0.065989093,-0.059553757,-0.082012422,-0.029288106,-0.078030635,-0.033046665,-0.055119542,-0.031645863,-0.037642616,-0.02325106,-0.033084655,-0.031211861,-0.00895681
03-May-20,-0.051009567,-0.084648535,-0.071384241,-0.082454133,-0.041909835,-0.063481081,-0.040011657,-0.063538783,-0.047083495,-0.056506183,-0.029341519,-0.032570605,-0.034530425,-0.021994569
10-May-20,-0.031067268,-0.054531159,-0.054763677,-0.09230694,-0.031122535,-0.084482908,-0.033938424,-0.05226305,-0.026308282,-0.029955684,-0.027202038,-0.038564998,-0.027437388,-0.00705047
17-May-20,-0.042846665,-0.060610226,-0.052654799,-0.077244827,-0.046955219,-0.074325927,-0.027123544,-0.056317314,-0.041222399,-0.036329763,-0.022731192,-0.028348513,-0.022933225,-0.014180727
24-May-20,-0.014697136,-0.039852762,-0.024369934,-0.019907639,-0.014572422,-0.050204204,-0.00669581,-0.036014281,-0.024741026,-0.021127684,-0.002597553,-0.011341498,-0.022158747,0.002429352
31-May-20,-0.068353244,-0.0894823,-0.081926834,-0.117538533,-0.057839875,-0.069735768,-0.055811681,-0.072538789,-0.052780069,-0.065381625,-0.047116424,-0.048091848,-0.033604901,-0.030857037
07-Jun-20,-0.049265029,-0.081066696,-0.072886765,-0.092960309,-0.033908455,-0.061328638,-0.048120744,-0.060881929,-0.039360249,-0.057006669,-0.037273777,-0.041998437,-0.037558628,-0.021247358
14-Jun-20,-0.034285261,-0.050568528,-0.044395076,-0.064216202,-0.032110179,-0.061651786,-0.025913221,-0.046749932,-0.031185887,-0.032185728,-0.022382059,-0.029112821,-0.02462796,-0.01023364
21-Jun-20,-0.042762793,-0.060390099,-0.04932544,-0.061672058,-0.03924594,-0.055723104,-0.027202205,-0.051543201,-0.040038677,-0.040901924,-0.023021709,-0.026530017,-0.025536795,-0.015839984
28-Jun-20,-0.039938957,-0.054010218,-0.043253974,-0.056162175,-0.037413597,-0.053532472,-0.024177873,-0.04836622,-0.037604356,-0.036906773,-0.021457633,-0.02526969,-0.023409658,-0.013593085
05-Jul-20,-0.038963698,-0.057291944,-0.04779742,-0.061724038,-0.030310747,-0.050871371,-0.030647161,-0.048217195,-0.033868165,-0.040829494,-0.025987533,-0.03062212,-0.027870876,-0.01371043
12-Jul-20,-0.038341758,-0.055614872,-0.047591298,-0.063568573,-0.029048682,-0.050931378,-0.031622119,-0.047254612,-0.032116255,-0.040005997,-0.027219854,-0.032217202,-0.028074458,-0.013483129
19-Jul-20,-0.041645076,-0.051255935,-0.042808402,-0.058862056,-0.035788332,-0.04837316,-0.027680214,-0.046377515,-0.035370696,-0.037957662,-0.026050894,-0.02931694,-0.024004871,-0.015151955
26-Jul-20,-0.042584041,-0.056179097,-0.04666658,-0.060256762,-0.03500146,-0.048169023,-0.029627685,-0.048139566,-0.036550786,-0.041249817,-0.02654429,-0.02967247,-0.026141943,-0.016154774
02-Aug-20,-0.037543696,-0.045197146,-0.039173143,-0.059043094,-0.032672601,-0.050557676,-0.02642382,-0.043519132,-0.031009165,-0.033081705,-0.02558554,-0.030272506,-0.02292858,-0.012343116
09-Aug-20,-0.03877273,-0.04670116,-0.037322321,-0.049170499,-0.032932596,-0.043359418,-0.023829864,-0.042858794,-0.033759142,-0.035279797,-0.023200511,-0.026294242,-0.022802826,-0.013550175
16-Aug-20,-0.037642965,-0.040950856,-0.03276973,-0.047527939,-0.033284221,-0.042921796,-0.021967572,-0.040681442,-0.032106457,-0.031742475,-0.0229864,-0.026232937,-0.020515938,-0.012342223
23-Aug-20,-0.037454859,-0.03748819,-0.024010713,-0.027313737,-0.034900145,-0.032543039,-0.013514931,-0.037719522,-0.03572212,-0.030477649,-0.016463232,-0.017458731,-0.017112697,-0.012092694
30-Aug-20,-0.039910521,-0.049366462,-0.040025296,-0.052888407,-0.028155038,-0.037977071,-0.029873185,-0.043040618,-0.031793097,-0.040084064,-0.028158808,-0.031101573,-0.025965743,-0.01442134
06-Sep-20,-0.028225231,-0.040816614,-0.036690146,-0.057482486,-0.018720231,-0.049252859,-0.028287165,-0.038898775,-0.021401151,-0.029948457,-0.025849454,-0.033507407,-0.026040618,-0.006721628
13-Sep-20,-0.041810658,-0.044472786,-0.035119828,-0.048877266,-0.036561566,-0.040664069,-0.023665143,-0.04269397,-0.035360087,-0.035454092,-0.024666011,-0.026583852,-0.020866005,-0.015014321
20-Sep-20,-0.035246392,-0.042974044,-0.034935919,-0.048281806,-0.026717138,-0.040665896,-0.02511351,-0.039936321,-0.028972181,-0.033765524,-0.02448593,-0.028580591,-0.023733884,-0.011390463
27-Sep-20,-0.033145889,-0.032787516,-0.02939994,-0.053623954,-0.02885996,-0.046741421,-0.02343706,-0.037365747,-0.025147434,-0.026044907,-0.025499147,-0.030907821,-0.019671359,-0.009010075
04-Oct-20,-0.032236146,-0.043350653,-0.030385787,-0.029770503,-0.021948471,-0.03044698,-0.019539733,-0.036879963,-0.029828493,-0.034518997,-0.018533334,-0.021541306,-0.024253693,-0.010365029
11-Oct-20,-0.039556505,-0.054659512,-0.043078357,-0.049489788,-0.027578482,-0.038181097,-0.028784147,-0.044481761,-0.033901244,-0.042295241,-0.025428992,-0.028218978,-0.027716757,-0.01490314
18-Oct-20,-0.033008539,-0.039036624,-0.031817061,-0.047109256,-0.027293867,-0.043807294,-0.022293989,-0.038787577,-0.027823982,-0.029734253,-0.02248629,-0.027294641,-0.021776968,-0.009517046
25-Oct-20,-0.034565579,-0.048877603,-0.039984075,-0.051286115,-0.024449293,-0.043206928,-0.027366466,-0.042157052,-0.029226492,-0.036637967,-0.024437978,-0.029211139,-0.026638008,-0.011340129
01-Nov-20,-0.036919337,-0.042494469,-0.037354904,-0.060646875,-0.0336187,-0.052873762,-0.025783955,-0.043228995,-0.030227361,-0.030890197,-0.025634848,-0.030749127,-0.021519551,-0.011330585
08-Nov-20,-0.038386067,-0.052767942,-0.03844162,-0.037961001,-0.028090287,-0.033988343,-0.023294496,-0.042718522,-0.035583435,-0.040704385,-0.020762216,-0.022680484,-0.025918103,-0.014256087
15-Nov-20,-0.038391755,-0.048842528,-0.03643413,-0.040776092,-0.028889583,-0.035028598,-0.023660612,-0.041719703,-0.03407566,-0.038525924,-0.022313183,-0.024492141,-0.024516796,-0.013828267
22-Nov-20,-0.031057536,-0.038567044,-0.026874436,-0.030946212,-0.023971624,-0.034221701,-0.017448511,-0.036159789,-0.028890537,-0.030390238,-0.01774852,-0.021358102,-0.021569989,-0.008700974
29-Nov-20,-0.034906015,-0.040446595,-0.029442414,-0.038153356,-0.028354744,-0.036690308,-0.020141545,-0.038748829,-0.031009269,-0.032298033,-0.020695113,-0.023796524,-0.021154014,-0.01057745
06-Dec-20,-0.038895315,-0.046469494,-0.036257379,-0.047273268,-0.028321773,-0.035951329,-0.026889269,-0.041524878,-0.031850422,-0.038164386,-0.026084613,-0.028739911,-0.02436965,-0.013557076
13-Dec-20,-0.041393826,-0.045690678,-0.035648561,-0.048164586,-0.033243272,-0.03731138,-0.025641723,-0.042372276,-0.03424756,-0.037523162,-0.025946323,-0.02785955,-0.022446639,-0.014842433
20-Dec-20,-0.036446766,-0.043391326,-0.032715452,-0.041205792,-0.027465731,-0.035277399,-0.023186481,-0.039563539,-0.031129546,-0.035216232,-0.023000345,-0.025843649,-0.023070405,-0.012082283
27-Dec-20,-0.035111292,-0.042359381,-0.034426974,-0.049314331,-0.026679804,-0.041209293,-0.02546629,-0.040063789,-0.028604182,-0.03348751,-0.02493247,-0.029199412,-0.023438946,-0.010930071
03-Jan-21,-0.032935621,-0.042941639,-0.031232457,-0.035979634,-0.024015782,-0.03497507,-0.020883528,-0.038279658,-0.029742428,-0.033759526,-0.020021793,-0.023551106,-0.023532579,-0.010075915
10-Jan-21,-0.03901273,-0.049166729,-0.038564179,-0.049149388,-0.029925083,-0.039912941,-0.02646772,-0.043313815,-0.033268991,-0.038411204,-0.024866695,-0.027820769,-0.024651897,-0.01362162
17-Jan-21,-0.048355694,-0.054126208,-0.047535096,-0.07283811,-0.042913953,-0.052652215,-0.033239763,-0.050672823,-0.03836263,-0.041291838,-0.032098308,-0.034605912,-0.023518019,-0.018473651
24-Jan-21,-0.035979975,-0.046121806,-0.039623365,-0.057775836,-0.027986867,-0.047401218,-0.028200173,-0.04267676,-0.029008967,-0.034627162,-0.026441225,-0.031460913,-0.024869897,-0.011618893
31-Jan-21,-0.034599467,-0.038042013,-0.03672406,-0.068142507,-0.032261379,-0.058407357,-0.027358066,-0.042159296,-0.02616101,-0.027086358,-0.027718949,-0.034478292,-0.020935087,-0.009456922
07-Feb-21,-0.049730715,-0.065946739,-0.047580755,-0.043351739,-0.041328104,-0.035814486,-0.025287983,-0.051163152,-0.047568917,-0.049819975,-0.021788331,-0.020550065,-0.026218885,-0.021368936
14-Feb-21,-0.034788772,-0.049114751,-0.039766981,-0.050366569,-0.02501458,-0.043041869,-0.026827935,-0.042330649,-0.029824955,-0.036719864,-0.023943412,-0.028550856,-0.026402912,-0.011430214
21-Feb-21,-0.035261624,-0.035194366,-0.02547851,-0.037768334,-0.034331014,-0.041352232,-0.015711138,-0.038220966,-0.032303032,-0.027169345,-0.018435178,-0.021456398,-0.016991241,-0.010138796
28-Feb-21,-0.037258577,-0.043004236,-0.035875572,-0.059752476,-0.037997615,-0.057420233,-0.022740566,-0.04544076,-0.033154417,-0.029551102,-0.022741545,-0.027853393,-0.019177847,-0.010249789
07-Mar-21,-0.045513992,-0.060961103,-0.050615844,-0.068244832,-0.037529315,-0.051681194,-0.033443079,-0.052224124,-0.038687587,-0.044792817,-0.029259855,-0.032378653,-0.026916559,-0.016932361
14-Mar-21,-0.037712102,-0.046390701,-0.037118803,-0.051903709,-0.030346849,-0.043579849,-0.026031384,-0.043052609,-0.031868312,-0.035740474,-0.02491196,-0.028678419,-0.023438643,-0.012178816
21-Mar-21,-0.033331783,-0.038467428,-0.032431275,-0.051941081,-0.02574175,-0.043610053,-0.025549571,-0.038892466,-0.02603957,-0.030582573,-0.025668751,-0.030841103,-0.022461529,-0.009328384
28-Mar-21,-0.031581082,-0.039444487,-0.032971752,-0.050301278,-0.023521084,-0.043850326,-0.025101935,-0.038613763,-0.025295562,-0.030523288,-0.024441641,-0.030070821,-0.023413327,-0.008525394
04-Apr-21,-0.037817923,-0.044717089,-0.032382211,-0.038431316,-0.030727692,-0.035583523,-0.020995673,-0.040687332,-0.034036856,-0.035537809,-0.021011432,-0.023146356,-0.021985163,-0.012758115
11-Apr-21,-0.033441245,-0.046512664,-0.040750431,-0.059119308,-0.02083225,-0.044356204,-0.031884141,-0.041254136,-0.024892897,-0.036173637,-0.028893593,-0.034828346,-0.027803921,-0.010405518
18-Apr-21,-0.035519477,-0.036311702,-0.029027206,-0.045360199,-0.031217008,-0.041574322,-0.020890603,-0.038311981,-0.029572084,-0.029039663,-0.022840687,-0.026514932,-0.019449393,-0.010742525
25-Apr-21,-0.033155895,-0.04183133,-0.036165587,-0.056045478,-0.026408472,-0.048517812,-0.026316934,-0.040810715,-0.026682664,-0.031118749,-0.02522976,-0.03104597,-0.023582181,-0.009446806
02-May-21,-0.039337955,-0.051459274,-0.041615257,-0.053826468,-0.031472465,-0.04481044,-0.027205558,-0.045072258,-0.033950601,-0.038496898,-0.024884972,-0.028354584,-0.025155166,-0.013901069
09-May-21,-0.037349037,-0.046617523,-0.037683326,-0.049991639,-0.028763179,-0.04136022,-0.026055201,-0.041955219,-0.031271158,-0.036137984,-0.024811724,-0.028416026,-0.024388153,-0.012791143
16-May-21,-0.03453753,-0.040629761,-0.034502892,-0.051771728,-0.026708028,-0.043173982,-0.025675124,-0.039394472,-0.027330559,-0.03186868,-0.025503549,-0.030227038,-0.023205737,-0.01078261
23-May-21,-0.037871606,-0.047863308,-0.036651544,-0.042011539,-0.02770607,-0.034921562,-0.024430047,-0.040899339,-0.032714077,-0.038033227,-0.023179701,-0.02562512,-0.024931583,-0.013822382
30-May-21,-0.036625601,-0.040796496,-0.031126244,-0.039156017,-0.027755725,-0.033142592,-0.022196071,-0.037799883,-0.030604682,-0.033972868,-0.023031744,-0.025483698,-0.022382224,-0.012719219
06-Jun-21,-0.035855447,-0.038240666,-0.028820318,-0.036462998,-0.026476947,-0.030556649,-0.021486647,-0.036089991,-0.029440459,-0.032960814,-0.022989384,-0.025327686,-0.021900901,-0.0123175
13-Jun-21,-0.030860375,-0.032783028,-0.023614844,-0.028825635,-0.020373466,-0.026563368,-0.018946277,-0.031764809,-0.025150847,-0.029489145,-0.020960572,-0.024077087,-0.021669447,-0.009442025
20-Jun-21,-0.033508545,-0.03263757,-0.02638441,-0.039866196,-0.024089381,-0.032050953,-0.022338074,-0.033695861,-0.025211951,-0.029399026,-0.024810217,-0.02825964,-0.021172449,-0.010638185
27-Jun-21,-0.030747699,-0.030228258,-0.019960136,-0.022109564,-0.021329606,-0.023216592,-0.015708656,-0.030182362,-0.026009195,-0.028120074,-0.018843745,-0.021206423,-0.020019414,-0.009398838
04-Jul-21,-0.029946614,-0.024461409,-0.016500358,-0.024076583,-0.021381461,-0.023750841,-0.015620193,-0.028238346,-0.023527428,-0.024850499,-0.020324829,-0.023106245,-0.018184668,-0.008382124
11-Jul-21,-0.03525309,-0.027398308,-0.018567404,-0.027529356,-0.028544986,-0.025082576,-0.016154405,-0.031391666,-0.028354372,-0.027270295,-0.021445314,-0.022825358,-0.016877983,-0.011258821
18-Jul-21,-0.029740958,-0.031775534,-0.021807779,-0.024431541,-0.016926197,-0.021546293,-0.019036322,-0.030029394,-0.0237573,-0.030134216,-0.021054317,-0.023962341,-0.022351801,-0.008946213
25-Jul-21,-0.029910385,-0.024892036,-0.016012829,-0.022013596,-0.020976106,-0.022292798,-0.015218905,-0.028194955,-0.023916957,-0.025402804,-0.019817852,-0.022378784,-0.01825427,-0.008306663
01-Aug-21,-0.030835051,-0.026494603,-0.017762851,-0.025508635,-0.022418373,-0.024834341,-0.016237265,-0.029705621,-0.024719592,-0.026082458,-0.02047786,-0.023169077,-0.01839783,-0.008631489
08-Aug-21,-0.034007407,-0.034963223,-0.022256437,-0.021861671,-0.023093529,-0.020432214,-0.017328049,-0.032544187,-0.029226936,-0.032559215,-0.019777797,-0.020988832,-0.02091501,-0.011257761
15-Aug-21,-0.032107768,-0.032961276,-0.021465891,-0.023775239,-0.021500757,-0.022593409,-0.017556009,-0.031844043,-0.02710188,-0.030690181,-0.020020733,-0.02212145,-0.020770987,-0.009811035
22-Aug-21,-0.030678084,-0.030090459,-0.021357426,-0.030460229,-0.021295038,-0.027921418,-0.018817486,-0.03168633,-0.024513668,-0.027907459,-0.021583864,-0.024965835,-0.020153507,-0.008390507
29-Aug-21,-0.032110285,-0.032486568,-0.020824895,-0.02351211,-0.022268754,-0.023226248,-0.016921304,-0.031974302,-0.027421248,-0.030159182,-0.01958524,-0.021681518,-0.020184867,-0.009579517
05-Sep-21,-0.033580763,-0.043761493,-0.031710275,-0.033668448,-0.019049558,-0.02627673,-0.024329611,-0.036540362,-0.02796621,-0.0374662,-0.023135789,-0.025941027,-0.026044347,-0.011274923
12-Sep-21,-0.032434669,-0.031355055,-0.021785215,-0.029403536,-0.023320135,-0.026799026,-0.018449723,-0.032389509,-0.026431184,-0.029078871,-0.02139206,-0.024044208,-0.019880192,-0.009572248
19-Sep-21,-0.033135513,-0.036424184,-0.026063265,-0.032547419,-0.022984148,-0.028706086,-0.020503021,-0.034696383,-0.027556878,-0.031918741,-0.021840286,-0.024681648,-0.021874379,-0.010204139
26-Sep-21,-0.037738895,-0.041766238,-0.032151534,-0.042885256,-0.028097105,-0.033724542,-0.024377784,-0.038979068,-0.030695545,-0.035319206,-0.024986836,-0.02747398,-0.022677579,-0.012894093
03-Oct-21,-0.03649995,-0.033652722,-0.02764726,-0.046676546,-0.03024955,-0.037981334,-0.022903097,-0.036892289,-0.028008718,-0.029345529,-0.025806421,-0.029124008,-0.01931811,-0.011336168
10-Oct-21,-0.036239421,-0.036932736,-0.025106849,-0.029400922,-0.028195562,-0.02741119,-0.018161003,-0.035614053,-0.031432332,-0.032468261,-0.020512293,-0.021943245,-0.020026625,-0.012048444
17-Oct-21,-0.033909604,-0.038550402,-0.026139941,-0.028506461,-0.024118596,-0.027116078,-0.018945748,-0.03540185,-0.029807477,-0.033192947,-0.020009241,-0.022171287,-0.021822831,-0.010785431
24-Oct-21,-0.035753303,-0.035546732,-0.028415073,-0.045482606,-0.028717137,-0.037612587,-0.023077163,-0.037382666,-0.028092995,-0.03041356,-0.025133293,-0.028615069,-0.02024151,-0.010852546
31-Oct-21,-0.035371646,-0.03373101,-0.028770824,-0.05026689,-0.028404782,-0.039997748,-0.024605929,-0.037035464,-0.026265908,-0.029137023,-0.026956285,-0.031080634,-0.0201708,-0.010523875
07-Nov-21,-0.036084115,-0.040795566,-0.032162376,-0.042879792,-0.024703467,-0.032420866,-0.025397032,-0.037544197,-0.02829978,-0.035006813,-0.025743435,-0.028730477,-0.023789077,-0.012303434
14-Nov-21,-0.028936299,-0.031093448,-0.019373668,-0.020039725,-0.02058097,-0.025132823,-0.01412454,-0.030801536,-0.026240719,-0.027476459,-0.016557568,-0.01944119,-0.019883266,-0.007784365
21-Nov-21,-0.029932227,-0.02894485,-0.022385781,-0.036213102,-0.021104996,-0.032029714,-0.020300718,-0.031869294,-0.022763032,-0.026459397,-0.023030842,-0.027340272,-0.020213377,-0.007756815
28-Nov-21,-0.030818396,-0.032386728,-0.02856471,-0.052064774,-0.025914013,-0.046702379,-0.023160105,-0.036730603,-0.023567208,-0.025432636,-0.024661777,-0.030728982,-0.020204674,-0.007384446
05-Dec-21,-0.036637101,-0.040450124,-0.030559177,-0.040745103,-0.029076194,-0.035531765,-0.021917917,-0.038694102,-0.031007342,-0.033290327,-0.022841429,-0.025543388,-0.021496776,-0.012001955
12-Dec-21,-0.033160168,-0.03762777,-0.026145848,-0.030149781,-0.023606708,-0.028579847,-0.019224667,-0.035107556,-0.028772982,-0.032231408,-0.020320254,-0.022931021,-0.021804937,-0.010297082
19-Dec-21,-0.032824481,-0.028534831,-0.023204969,-0.042601037,-0.026733095,-0.036716318,-0.020881763,-0.033886489,-0.024714554,-0.025806856,-0.024498387,-0.028588045,-0.018379857,-0.008844331
26-Dec-21,-0.036651907,-0.036083138,-0.027526971,-0.040298326,-0.028702229,-0.033029513,-0.021991672,-0.036680503,-0.029347513,-0.031700174,-0.024303442,-0.026822745,-0.020316558,-0.011858982
02-Jan-22,-0.035307765,-0.040546638,-0.029802785,-0.036236137,-0.02492154,-0.030433057,-0.022271533,-0.037042136,-0.029573975,-0.03448012,-0.022777497,-0.025331715,-0.022910303,-0.011702286
09-Jan-22,-0.037371457,-0.040331762,-0.027285745,-0.030665204,-0.030326446,-0.02985669,-0.018097324,-0.037853447,-0.033708811,-0.033875705,-0.019692512,-0.02098841,-0.020252058,-0.01253905
16-Jan-22,-0.03652548,-0.04049889,-0.028089356,-0.03278539,-0.027573063,-0.029319908,-0.020216502,-0.037541971,-0.031858849,-0.034557445,-0.021291836,-0.023074814,-0.02147408,-0.012040093
23-Jan-22,-0.036521297,-0.034205011,-0.030382842,-0.056857162,-0.030941413,-0.044771731,-0.026111554,-0.038854609,-0.026698152,-0.028872224,-0.028450842,-0.03299318,-0.019654334,-0.010618821
30-Jan-22,-0.037125933,-0.032443861,-0.025555005,-0.046383378,-0.035909396,-0.043272978,-0.019229642,-0.038502519,-0.030798059,-0.026666331,-0.022989335,-0.026248121,-0.016180188,-0.010606575
06-Feb-22,-0.043326561,-0.045976857,-0.034399719,-0.045714096,-0.036442349,-0.036120824,-0.024151848,-0.043175412,-0.036832575,-0.038083892,-0.02507901,-0.026073364,-0.021057139,-0.015621477
13-Feb-22,-0.025676085,-0.03833101,-0.030231307,-0.041175453,-0.013906382,-0.03808512,-0.024018339,-0.0351942,-0.020985028,-0.030083715,-0.0220854,-0.028670464,-0.025674098,-0.005346425
20-Feb-22,-0.034190129,-0.04351038,-0.035173615,-0.050943956,-0.027120608,-0.045032147,-0.025029625,-0.041340411,-0.02890771,-0.032922727,-0.023850006,-0.028747746,-0.02333977,-0.009876717
27-Feb-22,-0.038252374,-0.042055484,-0.036631046,-0.064256788,-0.037890994,-0.057401904,-0.025236483,-0.045295974,-0.03199449,-0.029902263,-0.025588716,-0.030778849,-0.01945913,-0.010864796
06-Mar-22,-0.041058067,-0.048735786,-0.042821778,-0.071120153,-0.039455662,-0.06013587,-0.029035432,-0.048991469,-0.034242747,-0.034259288,-0.027721791,-0.032786373,-0.021670854,-0.012714429
13-Mar-22,-0.043140948,-0.056048586,-0.044650902,-0.059072406,-0.037136115,-0.048941916,-0.028392498,-0.04942651,-0.038223624,-0.041156806,-0.025563999,-0.028465275,-0.024541767,-0.015267714
20-Mar-22,-0.037244804,-0.055450046,-0.042226662,-0.047913188,-0.026548211,-0.040993449,-0.02723454,-0.04537143,-0.033885113,-0.041401548,-0.023021948,-0.026596051,-0.027465167,-0.012644743
